,beta,tstat,r2,subject,model,model_ix,method,preproc,event_type
0,-2.640988571083275,-6.30987255693962,0.6886593745711986,008,linear,0,zscore,uncorr,"medium
annulus"
0,0.3857117224279649,1.053711782688152,0.7077470753102094,008,camel,1,zscore,uncorr,"medium
annulus"
0,-0.8049587897141296,-0.6176059852319072,0.7508236897998701,008,camel_deriv,2,zscore,uncorr,"medium
annulus"
1,-0.6856920993504912,-1.4056962460020297,0.09891788760885689,010,linear,0,zscore,uncorr,"medium
annulus"
1,0.5134827292541746,1.2157924668639832,0.17099954192869715,010,camel,1,zscore,uncorr,"medium
annulus"
1,3.139511067925798,3.104133069854031,0.6802791590082606,010,camel_deriv,2,zscore,uncorr,"medium
annulus"
2,-2.470847881335166,-7.147169058318791,0.7394401820565646,011,linear,0,zscore,uncorr,"medium
annulus"
2,0.63163336851936,2.3232419291247,0.8022312227677656,011,camel,1,zscore,uncorr,"medium
annulus"
2,1.8118129458725292,2.7781580587593315,0.9234694430708681,011,camel_deriv,2,zscore,uncorr,"medium
annulus"
3,-1.205145885983551,-3.2689228161734705,0.37251306836555564,013,linear,0,zscore,uncorr,"medium
annulus"
3,-0.24590673720412065,-0.7510880298928965,0.3926669936443866,013,camel,1,zscore,uncorr,"medium
annulus"
3,-0.2610884233157012,-0.25127726487790514,0.5886209837085349,013,camel_deriv,2,zscore,uncorr,"medium
annulus"
4,1.2193087081313814,4.378803575849101,0.5157895741422907,014,linear,0,zscore,uncorr,"medium
annulus"
4,0.425404918620122,1.855995298394218,0.5973739026834084,014,camel,1,zscore,uncorr,"medium
annulus"
4,1.3950104659922018,2.2964902248090904,0.8098125014749178,014,camel_deriv,2,zscore,uncorr,"medium
annulus"
5,-2.011638005514555,-8.791663002545022,0.811109566401923,022,linear,0,zscore,uncorr,"medium
annulus"
5,0.10486043753587804,0.5115839184677521,0.813973478681761,022,camel,1,zscore,uncorr,"medium
annulus"
5,0.8239974989601802,1.4706457837880595,0.9065183195983748,022,camel_deriv,2,zscore,uncorr,"medium
annulus"
0,1.0070575137153828,1.5392411503104713,0.11631561150379488,008,linear,0,zscore,uncorr,"large
annulus"
0,1.3990714546553127,2.8944060011758466,0.4080353211904988,008,camel,1,zscore,uncorr,"large
annulus"
0,3.1091761851072843,2.920657448183919,0.8069054986036089,008,camel_deriv,2,zscore,uncorr,"large
annulus"
1,1.3221873349668998,2.7622731255662636,0.2977021976320172,010,linear,0,zscore,uncorr,"large
annulus"
1,1.1874311247856142,3.686523914100635,0.6097128582353928,010,camel,1,zscore,uncorr,"large
annulus"
1,2.362626394115252,2.859088639073337,0.8272404967402656,010,camel_deriv,2,zscore,uncorr,"large
annulus"
2,1.2305797653511206,4.3911520343338415,0.5171960832766311,011,linear,0,zscore,uncorr,"large
annulus"
2,0.2572411679396451,1.0493081348562354,0.5465640009927213,011,camel,1,zscore,uncorr,"large
annulus"
2,-0.9667277724831415,-1.2761654945577416,0.7088336974126731,011,camel_deriv,2,zscore,uncorr,"large
annulus"
3,0.33719303165399933,0.9900633489992288,0.05164456230442749,013,linear,0,zscore,uncorr,"large
annulus"
3,-0.4737709139806106,-1.6614747341203284,0.18412773795012916,013,camel,1,zscore,uncorr,"large
annulus"
3,-3.774543121472107,-6.8164565871337,0.7930859965094563,013,camel_deriv,2,zscore,uncorr,"large
annulus"
4,0.47112619425324065,0.9657887784114035,0.04926638046701315,014,linear,0,zscore,uncorr,"large
annulus"
4,1.0449642474214231,2.9019241588311853,0.3642119753364309,014,camel,1,zscore,uncorr,"large
annulus"
4,0.6386273759341423,1.035883409817346,0.8746684271994668,014,camel_deriv,2,zscore,uncorr,"large
annulus"
5,1.6023917567734873,6.5700143686802575,0.7057144794233151,022,linear,0,zscore,uncorr,"large
annulus"
5,0.6563460600071502,4.315706684722606,0.8595702926568668,022,camel,1,zscore,uncorr,"large
annulus"
5,1.9614941820617553,3.876194583118253,0.8954400034222196,022,camel_deriv,2,zscore,uncorr,"large
annulus"
0,3.744531380797132,10.117539704186553,0.8504543814832329,001,linear,0,zscore,corr,center
0,-0.16196771827557677,-0.4881975509265246,0.852521995764792,001,camel,1,zscore,corr,center
0,0.1300288282559251,0.13626287756075023,0.9179476000406221,001,camel_deriv,2,zscore,corr,center
1,3.8088115033373153,16.5040766975215,0.938013230571554,002,linear,0,zscore,corr,center
1,-0.2902306434505353,-1.480259017484549,0.9450906193706046,002,camel,1,zscore,corr,center
1,-0.7882836231350447,-1.0993976429865981,0.9506148431628189,002,camel_deriv,2,zscore,corr,center
2,3.5512768678556275,8.819372469746797,0.8120719365960916,005,linear,0,zscore,corr,center
2,-0.7074951772241378,-2.2079753125016044,0.8539540825791947,005,camel,1,zscore,corr,center
2,-1.1852244662019906,-1.0939837452072962,0.8877164995037036,005,camel_deriv,2,zscore,corr,center
3,1.4804528856516244,2.9204885707180153,0.3215037126606213,006,linear,0,zscore,corr,center
3,-1.1654099670015738,-3.2386012324718023,0.5803910375771668,006,camel,1,zscore,corr,center
3,-3.0969899462115325,-2.5419041113850906,0.6765038598977965,006,camel_deriv,2,zscore,corr,center
4,3.3777966321949866,8.338512400916818,0.7943580745329348,008,linear,0,zscore,corr,center
4,0.03550612981497614,0.09712820327387915,0.7944721290558112,008,camel,1,zscore,corr,center
4,-1.1085454305679736,-0.8974978393859748,0.8422023558809996,008,camel_deriv,2,zscore,corr,center
5,3.0873907360013266,7.313367517331982,0.748200136124266,010,linear,0,zscore,corr,center
5,-0.6066057846989032,-1.725632304509269,0.785732352006944,010,camel,1,zscore,corr,center
5,-3.546881884864452,-3.6868270567616275,0.8920721468399446,010,camel_deriv,2,zscore,corr,center
6,3.7046210989902097,12.64586377343127,0.8988297244020087,011,linear,0,zscore,corr,center
6,-0.4049810725546028,-1.6494644673825065,0.912787487025814,011,camel,1,zscore,corr,center
6,-0.6487436520960167,-0.7512772451079263,0.9274484599518317,011,camel_deriv,2,zscore,corr,center
7,3.9039061996392728,15.816359798646305,0.9328752034345085,013,linear,0,zscore,corr,center
7,-0.11730551842909942,-0.5308379474853467,0.9339697095904126,013,camel,1,zscore,corr,center
7,0.5784000059484858,0.9118755047352682,0.9634134627275501,013,camel_deriv,2,zscore,corr,center
8,-0.4217382755142283,-0.9229392568700091,0.04518486879334893,014,linear,0,zscore,corr,center
8,-1.04389566272154,-3.2057088336175985,0.4049157298496091,014,camel,1,zscore,corr,center
8,-2.5656808235762707,-2.553981005121041,0.6191201926645796,014,camel_deriv,2,zscore,corr,center
9,3.495181021366754,7.118604270421726,0.7378940802431369,015,linear,0,zscore,corr,center
9,-0.6709302168631508,-1.6274613319586155,0.7732258916728321,015,camel,1,zscore,corr,center
9,-1.040158064132286,-0.7370068290411964,0.8212601601386025,015,camel_deriv,2,zscore,corr,center
10,3.8941920797913108,15.73383335841085,0.9322170516433759,022,linear,0,zscore,corr,center
10,-0.10111637430931353,-0.4553417738595347,0.9330337878397567,022,camel,1,zscore,corr,center
10,0.721743418915009,0.9808263009508847,0.9505490326195646,022,camel_deriv,2,zscore,corr,center
0,0.3273436553321521,0.9506299148386435,0.047805316798747666,001,linear,0,zscore,corr,"medium
annulus"
0,-0.4999908882975952,-1.7469890274668995,0.19273223130008799,001,camel,1,zscore,corr,"medium
annulus"
0,-0.9398854220517925,-1.674141102981779,0.7910968049056176,001,camel_deriv,2,zscore,corr,"medium
annulus"
1,-0.7361358636208484,-2.1453366447575712,0.20362683626791145,002,linear,0,zscore,corr,"medium
annulus"
1,-0.4716413849327587,-1.6385399610771734,0.3122442340137469,002,camel,1,zscore,corr,"medium
annulus"
1,0.7980292156311247,0.9394337192212489,0.5971574071479981,002,camel_deriv,2,zscore,corr,"medium
annulus"
2,-0.2745851372573343,-0.8103808509374877,0.03520003649177006,005,linear,0,zscore,corr,"medium
annulus"
2,-0.2009284077521712,-0.6654318593077403,0.05969226305658226,005,camel,1,zscore,corr,"medium
annulus"
2,0.8338910045413627,0.8295151770645978,0.2990775097958396,005,camel_deriv,2,zscore,corr,"medium
annulus"
3,-0.09016840114937043,-0.21960309277948717,0.0026720365561293535,006,linear,0,zscore,corr,"medium
annulus"
3,0.03351021037775567,0.09043408441245773,0.003151598252192689,006,camel,1,zscore,corr,"medium
annulus"
3,0.30122728291879497,0.34769102497222126,0.6335233284022828,006,camel_deriv,2,zscore,corr,"medium
annulus"
4,-1.008164937882079,-2.712705848307872,0.29018647762655614,008,linear,0,zscore,corr,"medium
annulus"
4,0.5257534062524006,1.6943500276623267,0.392736250644941,008,camel,1,zscore,corr,"medium
annulus"
4,1.6448320938690386,1.794123740307829,0.6434968452099056,008,camel_deriv,2,zscore,corr,"medium
annulus"
5,0.5854857342565414,1.5680386493795544,0.12018064554776364,010,linear,0,zscore,corr,"medium
annulus"
5,0.6486293194509911,2.1759982110351452,0.31184951005544737,010,camel,1,zscore,corr,"medium
annulus"
5,-0.7081203586305289,-0.8045394823139445,0.5965103830093925,010,camel_deriv,2,zscore,corr,"medium
annulus"
6,-1.2604896451210326,-5.4915612204048685,0.6262244624768172,011,linear,0,zscore,corr,"medium
annulus"
6,-0.12467640272942454,-0.6082503015902011,0.6341856253955642,011,camel,1,zscore,corr,"medium
annulus"
6,0.43407971264747247,0.6828719480621025,0.7633955408587808,011,camel_deriv,2,zscore,corr,"medium
annulus"
7,-0.49024978135781494,-1.2129275239904718,0.07555742295657764,013,linear,0,zscore,corr,"medium
annulus"
7,0.24622476586790176,0.6840888249318634,0.10032379012465564,013,camel,1,zscore,corr,"medium
annulus"
7,-0.48542196038993723,-0.5162537913231562,0.5870802272668199,013,camel_deriv,2,zscore,corr,"medium
annulus"
8,0.8864384296708854,3.4171930798691275,0.3934739524897577,014,linear,0,zscore,corr,"medium
annulus"
8,0.4453078378877512,2.1433263813487153,0.5225055386764103,014,camel,1,zscore,corr,"medium
annulus"
8,1.1724711322068555,1.478217225047309,0.5319872712872726,014,camel_deriv,2,zscore,corr,"medium
annulus"
9,0.4425777769163131,1.116068671537906,0.06472173790358848,015,linear,0,zscore,corr,"medium
annulus"
9,0.3437701728823203,0.9875258408466536,0.11546330440807384,015,camel,1,zscore,corr,"medium
annulus"
9,1.7857504071857657,2.3964915797786053,0.7274339918673516,015,camel_deriv,2,zscore,corr,"medium
annulus"
10,-1.1245963041277605,-4.425450799738455,0.5210806308664198,022,linear,0,zscore,corr,"medium
annulus"
