,beta,tstat,r2,subject,model,model_ix,method,preproc,event_type
0,2.3410045693519805,5.082886318389978,0.589376094925351,008,linear,0,zscore,uncorr,center
0,-0.4960344236631584,-1.2464551140047964,0.6237610252363768,008,camel,1,zscore,uncorr,center
0,-2.6957469030277292,-2.516997690785257,0.8167298993762049,008,camel_deriv,2,zscore,uncorr,center
1,2.254187224441463,5.845355762382914,0.6549621124657808,010,linear,0,zscore,uncorr,center
1,0.7964891381019854,2.7504247487677715,0.7612178637474641,010,camel,1,zscore,uncorr,center
1,0.4571139820851986,0.4493532916348147,0.801837991777373,010,camel_deriv,2,zscore,uncorr,center
2,2.8376951380145377,7.955119856307707,0.7785540195583163,011,linear,0,zscore,uncorr,center
2,0.2425641360716324,0.7662074718458209,0.7859461050159161,011,camel,1,zscore,uncorr,center
2,-0.055611870313955425,-0.09343111771303496,0.9491114329945625,011,camel_deriv,2,zscore,uncorr,center
3,3.3011959534683206,17.979317827951583,0.9472536544989317,013,linear,0,zscore,uncorr,center
3,-0.31357727784687195,-2.129381842102538,0.9583599538219351,013,camel,1,zscore,uncorr,center
3,-1.3373919128321885,-2.64675928156991,0.9670296767027046,013,camel_deriv,2,zscore,uncorr,center
4,0.6019600810573763,1.2967600817902905,0.08543959054347372,014,linear,0,zscore,uncorr,center
4,-0.4362013519569692,-1.0758412666410497,0.14373767836880524,014,camel,1,zscore,uncorr,center
4,-1.2721094516042566,-1.0000443008916433,0.4331798466630822,014,camel_deriv,2,zscore,uncorr,center
5,3.3086996408409672,16.994153566636395,0.9413300966653199,022,linear,0,zscore,uncorr,center
5,-0.023942804083590508,-0.13630785138433563,0.941394148828392,022,camel,1,zscore,uncorr,center
5,0.17849576223405428,0.3113279042333245,0.9580088269087277,022,camel_deriv,2,zscore,uncorr,center
