subject,event_type,vox,magnitude,magnitude_ix,fwhm,fwhm_obj,time_to_peak,half_rise_time,half_max,rise_slope,onset_time,positive_area,undershoot,1st_deriv_magnitude,1st_deriv_time_to_peak,2nd_deriv_magnitude,2nd_deriv_time_to_peak
014,suppr_2,7,-0.1255579769972176,967,2.5094928004374486,<linescanning.fitting.FWHM object at 0x7fae3d910dc0>,3.0767500000000005,1.8249368517561049,-0.0627789884986088,-0.07504903100969186,0.9857056926794457,-0.3111260119557624,0.4487228046144753,-0.07887516092661517,1.8535000000000004,-0.07610552215098254,1.0450000000000004
014,suppr_2,8,0.053977452813473686,1670,4.127435496751525,<linescanning.fitting.FWHM object at 0x7fae13d24a90>,6.7675,4.990878192497492,0.026988726406736843,0.028183962844777113,4.055714548955716,0.21814332151416682,0.06623487226699135,-0.019877663393077505,1.7012500000000004,-0.02086945326507117,0.97675
014,suppr_2,9,0.08085681932434488,1087,3.4471128733338,<linescanning.fitting.FWHM object at 0x7fae13b495b0>,3.7067500000000004,2.1208731491040482,0.04042840966217244,0.039968523004867244,1.109302414457105,0.2775510727904875,0.12411423777407589,0.04197313347320186,2.1160000000000005,0.03554744040151525,1.1605000000000003
014,suppr_2,10,0.06158325888611224,1487,4.363346218195528,<linescanning.fitting.FWHM object at 0x7fae3d910e80>,5.80675,3.8116554499390096,0.03079162944305612,0.025131592244782817,2.59319534800562,0.26590051062446346,0.09131289960408367,-0.0029480365739746606,1.1972500000000004,-0.004416491464870609,0.7457500000000001
014,suppr_2,11,0.21430669046311784,1772,4.093486050000662,<linescanning.fitting.FWHM object at 0x7fae138e22e0>,7.303000000000001,5.594313425699932,0.10715334523155892,0.12158753671409497,4.737942948124162,0.8605037652290705,0.2087814233020808,-0.135197624884972,1.8272500000000003,-0.1323217422917402,1.0345
014,suppr_2,12,-0.4329000715955064,967,2.511861049572908,<linescanning.fitting.FWHM object at 0x7fae13b49190>,3.0767500000000005,1.825708475587736,-0.2164500357977532,-0.2586132955523104,0.9860045236928926,-1.0737322962869627,1.541852664989146,-0.2717967812651594,1.8535000000000004,-0.26215749759172624,1.0450000000000004
014,suppr_2,13,-0.6556689818760412,972,2.544932070345449,<linescanning.fitting.FWHM object at 0x7fae3d2e9c70>,3.1030000000000006,1.8364734667723464,-0.3278344909380206,-0.38888632034173604,0.9909015879152798,-1.6480026136153354,2.227807519640309,-0.40852241918477006,1.8640000000000003,-0.39204348303573866,1.0502500000000001
014,suppr_2,14,-0.6570966256432706,974,2.5618063568816747,<linescanning.fitting.FWHM object at 0x7fae13b498b0>,3.1135,1.8419309725650685,-0.3285483128216353,-0.38812593300011994,0.9928184875462205,-1.66271399614851,2.180469437320881,-0.4078338732834439,1.86925,-0.3903848015258795,1.0502500000000001
014,suppr_2,15,-0.43713526873871317,977,2.587802025504512,<linescanning.fitting.FWHM object at 0x7fae3d920160>,3.1292500000000008,1.8502927406222411,-0.21856763436935658,-0.2567099310873294,0.996319523669971,-1.1175470141411494,1.3993980680837772,-0.2697186618851717,1.8745000000000003,-0.2571747423312676,1.0555000000000003
014,suppr_2,16,-0.21749931071939338,988,2.6732100865765784,<linescanning.fitting.FWHM object at 0x7fae13b49a30>,3.1870000000000003,1.8774441327209286,-0.10874965535969669,-0.12537167930589113,1.0078324529655498,-0.5747568663785619,0.6216274290263194,-0.1316875191809217,1.9007500000000004,-0.12399882323149036,1.0660000000000003
